                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81702,                0.78405,                 1.1611,                0.60073,                0.83333,                0.76822,                0.62621,                0.79434,                0.90367,                 1.2947,              0.0013268,              0.0013268,              0.0013268
                     36,                0.85798,                0.79563,                  1.149,                0.81524,                    0.8,                0.84346,                0.69705,                0.79469,                0.89595,                 1.3411,               0.001307,               0.001307,               0.001307
                     37,                0.85949,                 0.8195,                 1.1354,                0.79989,                0.79947,                0.82184,                0.64496,                0.81754,                 1.0492,                 1.3252,              0.0012872,              0.0012872,              0.0012872
                     38,                0.80748,                0.76532,                 1.1348,                0.91803,                0.74694,                0.86576,                0.69397,                0.87961,                0.81158,                 1.4174,              0.0012674,              0.0012674,              0.0012674
                     39,                0.90053,                0.88488,                 1.1531,                0.87116,                    0.8,                0.88442,                0.68658,                0.90554,                0.79812,                 1.4379,              0.0012476,              0.0012476,              0.0012476
                     40,                0.78774,                0.75876,                 1.1084,                0.74012,                    0.9,                0.88311,                0.71467,                0.80543,                0.87332,                 1.3909,              0.0012278,              0.0012278,              0.0012278
                     41,                0.81545,                0.74283,                  1.102,                      1,                0.81556,                0.91865,                0.71553,                 0.8285,                0.77208,                 1.3437,               0.001208,               0.001208,               0.001208
                     42,                 0.7809,                0.75546,                 1.1032,                0.73298,                 0.8237,                0.84292,                0.67456,                0.81338,                 0.8098,                 1.4063,              0.0011882,              0.0011882,              0.0011882
                     43,                0.83978,                0.73529,                 1.1454,                0.89177,                0.76667,                 0.8541,                0.67233,                0.77551,                0.80956,                 1.3282,              0.0011684,              0.0011684,              0.0011684
                     44,                0.79227,                0.74748,                 1.0909,                0.91569,                0.72436,                0.81955,                0.67475,                0.76962,                0.92781,                 1.3113,              0.0011486,              0.0011486,              0.0011486
                     45,                0.82693,                0.76548,                 1.1295,                0.74516,                0.83333,                0.88119,                0.71503,                0.72883,                0.75932,                 1.2772,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.8243,                 0.7276,                 1.1029,                0.81217,                0.86485,                0.88932,                0.73006,                0.75585,                0.70615,                 1.3002,               0.001109,               0.001109,               0.001109
                     47,                0.75344,                0.65123,                 1.0708,                0.79882,                0.79431,                0.84052,                0.68652,                0.79129,                0.79656,                 1.3207,              0.0010892,              0.0010892,              0.0010892
                     48,                0.76456,                0.66536,                 1.0718,                0.71195,                0.83333,                0.82997,                0.65582,                0.87069,                 0.8538,                 1.4863,              0.0010694,              0.0010694,              0.0010694
                     49,                0.78627,                0.71669,                 1.0989,                0.92276,                0.79662,                0.89046,                0.70763,                0.79176,                0.80078,                 1.3336,              0.0010496,              0.0010496,              0.0010496
                     50,                0.81964,                0.72751,                 1.1564,                0.92443,                0.81585,                0.89985,                0.71501,                0.73848,                0.72654,                 1.3075,              0.0010298,              0.0010298,              0.0010298
                     51,                0.74383,                0.72275,                 1.0776,                0.81223,                0.83333,                0.88201,                0.71308,                0.77779,                 0.6763,                 1.2921,                0.00101,                0.00101,                0.00101
                     52,                 0.7868,                0.71817,                 1.0807,                0.89167,                    0.8,                0.91275,                0.73017,                0.79583,                 0.6966,                 1.2639,              0.0009902,              0.0009902,              0.0009902
                     53,                0.81306,                0.67048,                 1.1079,                 0.8685,                0.93333,                0.95665,                0.79088,                0.78294,                0.56114,                 1.2681,              0.0009704,              0.0009704,              0.0009704
                     54,                0.75597,                0.64255,                 1.0862,                0.95809,                    0.9,                0.95593,                0.77394,                0.82116,                0.57544,                 1.2997,              0.0009506,              0.0009506,              0.0009506
                     55,                0.73222,                 0.6462,                  1.066,                0.94281,                0.76667,                0.89496,                0.73043,                0.78362,                0.74974,                 1.3244,              0.0009308,              0.0009308,              0.0009308
                     56,                0.76647,                0.62304,                 1.0637,                0.95606,                0.76667,                0.83804,                0.68548,                0.76164,                0.82204,                 1.3001,               0.000911,               0.000911,               0.000911
                     57,                0.76117,                0.61736,                 1.0738,                0.92848,                0.86556,                0.89674,                0.74667,                0.75423,                0.69558,                 1.3234,              0.0008912,              0.0008912,              0.0008912
                     58,                0.74189,                0.61893,                  1.039,                 0.9477,                0.86667,                0.90443,                0.75274,                0.70526,                0.75675,                 1.2356,              0.0008714,              0.0008714,              0.0008714
                     59,                0.74901,                0.62535,                 1.0762,                0.96385,                0.88909,                0.90947,                0.74334,                 0.7065,                0.70928,                  1.197,              0.0008516,              0.0008516,              0.0008516
                     60,                0.73767,                0.60234,                 1.0653,                0.82849,                0.83333,                0.88518,                0.73473,                0.70225,                0.79734,                  1.226,              0.0008318,              0.0008318,              0.0008318
                     61,                0.70936,                0.62559,                 1.0534,                0.86105,                0.82646,                0.90878,                0.76486,                0.66408,                0.64486,                 1.2136,               0.000812,               0.000812,               0.000812
                     62,                0.72864,                 0.6033,                 1.0602,                0.89878,                0.73333,                 0.8733,                0.71172,                0.68953,                0.74432,                 1.2283,              0.0007922,              0.0007922,              0.0007922
                     63,                0.75223,                0.62379,                 1.0798,                0.91878,                0.86667,                0.90952,                0.72927,                0.76545,                0.63009,                 1.3338,              0.0007724,              0.0007724,              0.0007724
