                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94104,                 3.0845,                 1.1476,                0.55744,                    0.3,                 0.4035,                0.26745,                 1.3203,                 2.9774,                 1.5582,             0.00064912,             0.00064912,             0.00064912
                      2,                0.95585,                 2.2407,                 1.1023,                0.88502,                0.23333,                0.38572,                0.27198,                 1.5389,                 3.0987,                  1.843,              0.0013028,              0.0013028,              0.0013028
                      3,                  1.057,                 2.0781,                 1.1641,                0.57735,                0.46667,                0.39636,                0.24248,                 1.4224,                 4.6604,                 2.0849,              0.0019432,              0.0019432,              0.0019432
                      4,                 1.0139,                 1.8839,                 1.1751,                0.36269,                0.53333,                0.37335,                  0.254,                 1.4138,                 5.0871,                 1.8125,              0.0019406,              0.0019406,              0.0019406
                      5,                0.97951,                 1.7207,                 1.1269,                0.55274,                0.63333,                0.62199,                0.44277,                 1.1109,                 2.7695,                 1.5048,              0.0019208,              0.0019208,              0.0019208
                      6,                 0.9828,                 1.6816,                 1.1576,                0.35961,                0.43333,                0.34084,                0.22493,                  1.113,                  3.196,                 1.4578,               0.001901,               0.001901,               0.001901
                      7,                0.95475,                  1.458,                 1.1063,                0.59503,                0.63333,                0.67019,                0.46589,                 1.1598,                  1.813,                 1.4962,              0.0018812,              0.0018812,              0.0018812
                      8,                 0.9691,                 1.4688,                 1.1128,                0.59402,                0.68306,                0.72706,                0.53272,                 1.0404,                 3.7616,                 1.3885,              0.0018614,              0.0018614,              0.0018614
                      9,                0.88808,                 1.2881,                 1.0662,                0.75221,                0.66667,                0.68596,                0.47973,                 1.0156,                 1.7174,                 1.3927,              0.0018416,              0.0018416,              0.0018416
                     10,                0.92715,                 1.3036,                 1.0853,                0.71498,                0.58565,                0.67101,                0.45483,                 1.1559,                 1.5588,                 1.4959,              0.0018218,              0.0018218,              0.0018218
                     11,                0.86299,                 1.1985,                 1.0603,                0.77302,                    0.6,                0.66791,                0.45535,                 1.1203,                 1.6202,                 1.4393,               0.001802,               0.001802,               0.001802
                     12,                0.86454,                 1.0862,                 1.0639,                0.67444,                0.73333,                0.76809,                 0.5435,                 1.0242,                 1.4373,                 1.3736,              0.0017822,              0.0017822,              0.0017822
                     13,                0.83751,                 1.0373,                  1.032,                0.68881,                    0.8,                0.78904,                0.55994,                  1.059,                 1.3534,                 1.4147,              0.0017624,              0.0017624,              0.0017624
                     14,                0.84835,                 1.0338,                 1.0346,                0.88539,                    0.8,                0.84371,                0.63678,                 0.8423,                 1.1022,                 1.2856,              0.0017426,              0.0017426,              0.0017426
                     15,                0.79218,                0.95346,                 1.0101,                0.68958,                0.63333,                0.71641,                0.50469,                 1.0693,                 1.4979,                 1.4383,              0.0017228,              0.0017228,              0.0017228
                     16,                0.81169,                0.93595,                 1.0201,                0.90065,                    0.7,                0.80051,                0.56827,                0.92483,                 1.2495,                 1.3269,               0.001703,               0.001703,               0.001703
                     17,                0.81632,                0.91758,                 1.0116,                0.84634,                0.66667,                0.79082,                0.63586,                0.82442,                 1.1641,                 1.2076,              0.0016832,              0.0016832,              0.0016832
                     18,                 0.7794,                 0.8552,                 1.0051,                0.60699,                    0.8,                0.74191,                0.56984,                0.89766,                 1.2265,                 1.2458,              0.0016634,              0.0016634,              0.0016634
                     19,                0.76528,                0.86749,                 1.0118,                      1,                0.79715,                0.87321,                0.67573,                0.85716,                0.95908,                 1.2164,              0.0016436,              0.0016436,              0.0016436
                     20,                0.79748,                 0.8262,                 1.0355,                0.89112,                0.81878,                0.87482,                0.68576,                0.85221,                0.98596,                 1.2891,              0.0016238,              0.0016238,              0.0016238
                     21,                0.78051,                0.81064,                 1.0204,                0.90009,                0.90089,                0.93355,                 0.7203,                0.80709,                0.89744,                 1.2256,               0.001604,               0.001604,               0.001604
                     22,                0.76306,                0.75777,                0.99318,                0.92617,                0.83637,                0.92357,                0.74413,                0.74943,                 1.1601,                 1.1686,              0.0015842,              0.0015842,              0.0015842
                     23,                0.73879,                0.75453,                0.99067,                0.92962,                0.93333,                0.96253,                 0.7727,                0.76984,                0.79266,                 1.1763,              0.0015644,              0.0015644,              0.0015644
                     24,                0.73707,                0.75218,                0.99577,                0.97429,                0.86667,                0.94299,                0.76293,                0.78216,                0.95277,                 1.2023,              0.0015446,              0.0015446,              0.0015446
                     25,                0.74276,                0.74652,                0.99468,                 0.9481,                0.76667,                0.87937,                0.68412,                0.84917,                0.90514,                  1.246,              0.0015248,              0.0015248,              0.0015248
                     26,                0.74899,                0.77678,                 1.0113,                 0.9572,                0.86667,                0.92102,                0.76415,                0.77242,                0.76398,                 1.1646,               0.001505,               0.001505,               0.001505
                     27,                0.71562,                0.72241,                0.97059,                0.89609,                0.93333,                0.93468,                0.74549,                0.72008,                0.74043,                 1.1137,              0.0014852,              0.0014852,              0.0014852
                     28,                0.70911,                0.65149,                0.98358,                0.95374,                    0.9,                0.94997,                0.72462,                0.92548,                0.87941,                 1.2876,              0.0014654,              0.0014654,              0.0014654
                     29,                0.70967,                0.63786,                0.97833,                0.89846,                0.88512,                0.94125,                0.71286,                 1.0312,                0.91709,                 1.2968,              0.0014456,              0.0014456,              0.0014456
                     30,                0.70217,                0.65501,                0.96982,                0.97992,                0.93333,                0.97318,                 0.7443,                0.84587,                0.64547,                 1.2214,              0.0014258,              0.0014258,              0.0014258
                     31,                0.71442,                0.64396,                0.97669,                0.95243,                    0.9,                0.94127,                0.76641,                0.68108,                0.76886,                 1.1075,               0.001406,               0.001406,               0.001406
                     32,                0.68577,                 0.6491,                0.96403,                0.82286,                    0.8,                0.87114,                0.70798,                0.70552,                0.93043,                 1.1381,              0.0013862,              0.0013862,              0.0013862
                     33,                0.71064,                0.65364,                0.96668,                0.82724,                    0.8,                  0.869,                0.68987,                0.83918,                0.95653,                 1.2896,              0.0013664,              0.0013664,              0.0013664
